Village Name,Land Size (Acres),Crops,Machines Available,Labor Issues,Tech Gaps,Suggested Machines,Recommended Training Focus
Chandipur,1857,"Wheat, Sugarcane, Paddy, Mung","Manual Tools, Sprayer, None",None,"Manual sowing, No harvester, No weeder","Seed drill, Harvester","Machine handling, Bookkeeping"
Dhanwar,2691,"Maize, Mung, Sugarcane",Tractor,Harvest labor shortage,"Manual weeding, No harvester, No seed drill","Sprayer, Weeder",Machine handling
Rajpur,1460,"Millets, Chana","Manual Tools, Sprayer",Harvest labor shortage,"Manual sowing, No paddy planter","Sprayer, Paddy transplanter",Machine handling
Dhanwar,1866,"Sugarcane, Maize, Chana",Harvester,Harvest labor shortage,No harvester,Weeder,Repair & maintenance
Pipra,2438,"Chana, Paddy","Sprayer, None",Harvest labor shortage,No harvester,Sprayer,"Machine handling, Bookkeeping"
Khurda,2883,"Vegetables, Millets, Maize, Wheat","None, Sprayer, Tractor",Labor migration,"No paddy planter, No seed drill, Manual weeding","Seed drill, Sprayer","Custom hiring, Bookkeeping"
Rajpur,1702,"Maize, Mung, Paddy, Chana","Harvester, Manual Tools, Sprayer",Harvest labor shortage,"Manual weeding, No weeder, Manual sowing",Paddy transplanter,"Machine handling, Repair & maintenance"
Kundesar,2889,"Sugarcane, Paddy, Vegetables","None, Sprayer, Tractor",Harvest labor shortage,No seed drill,"Harvester, Sprayer",Repair & maintenance
Rajpur,1145,"Vegetables, Chana, Paddy, Mung",None,No major labor issues,No weeder,"Weeder, Harvester","Nursery setup, Custom hiring"
Rajpur,2547,"Wheat, Paddy, Vegetables, Maize",Harvester,Labor migration,"No harvester, No weeder","Harvester, Sprayer",Nursery setup
Pipra,1281,"Paddy, Mung, Maize, Sugarcane","Tractor, Harvester, Sprayer",Labor migration,"Manual weeding, Manual sowing, No harvester","Seed drill, Sprayer","Bookkeeping, Machine handling"
Pipra,2705,"Sugarcane, Wheat",Sprayer,No major labor issues,No harvester,"Sprayer, Paddy transplanter",Custom hiring
Dhanwar,814,"Chana, Paddy",Sprayer,Need skilled labor,"No paddy planter, No weeder, Manual sowing","Paddy transplanter, Weeder","Bookkeeping, Nursery setup"
Dhanwar,1380,"Wheat, Maize","Sprayer, Harvester, None",Harvest labor shortage,No harvester,Paddy transplanter,Custom hiring
Pipra,796,"Paddy, Millets, Vegetables",Tractor,Labor migration,"No harvester, Manual weeding","Harvester, Nursery bed","Nursery setup, Custom hiring"
Sonpur,842,"Millets, Wheat",Manual Tools,No major labor issues,"No harvester, Manual sowing",Paddy transplanter,Nursery setup
Sonpur,1805,"Vegetables, Wheat, Millets, Paddy","Manual Tools, Harvester",None,"No seed drill, No harvester",Harvester,Bookkeeping
Chandipur,1350,"Sugarcane, Wheat",Tractor,Need skilled labor,Manual sowing,"Harvester, Paddy transplanter","Nursery setup, Repair & maintenance"
Sonpur,1368,"Millets, Sugarcane, Wheat","None, Sprayer",Harvest labor shortage,Manual sowing,Nursery bed,Repair & maintenance
Agariya,1432,"Sugarcane, Paddy, Chana","Tractor, None",Harvest labor shortage,Manual weeding,Harvester,Nursery setup
Malda,1094,"Paddy, Millets","Harvester, None",Labor migration,"No harvester, No weeder",Paddy transplanter,"Repair & maintenance, Machine handling"
Buxar,2342,"Paddy, Chana",None,None,"No paddy planter, No weeder","Weeder, Seed drill","Bookkeeping, Repair & maintenance"
Malda,1196,"Vegetables, Sugarcane, Wheat, Maize","Tractor, None",Harvest labor shortage,"No paddy planter, No harvester, Manual weeding",Sprayer,"Custom hiring, Bookkeeping"
Rajpur,1390,"Maize, Mung, Chana, Sugarcane","Sprayer, Manual Tools, None",No major labor issues,"No harvester, Manual weeding","Nursery bed, Weeder","Repair & maintenance, Custom hiring"
Kundesar,2844,"Sugarcane, Vegetables, Paddy","Tractor, None",None,No harvester,Sprayer,"Machine handling, Repair & maintenance"
